id,name,area.name,salary.from,salary.to,salary.currency,salary.gross,employer.name,snippet.requirement,snippet.responsibility,schedule.name
77448260,Lead Data Engineer,Москва,,500000.0,RUR,False,Wanted,"С прошлого года активно развиваем новую область компетенций - рекомендательные ML системы, уже успешно реализовали проект для крупного заказчика в сфере...",...обучения и участвовать в их продукционализации совместно с <highlighttext>Data</highlighttext> Science командой. Разрабатывать продукт в команде и развивать отдел <highlighttext>Data</highlighttext> <highlighttext>Engineer</highlighttext>.,Гибкий график
77015802,Data Engineer,Москва,200000.0,280000.0,RUR,True,HR Prime,Хороший уровень работы с БД. Опыт с Python. Опыт работы с ClickHouse.,Поддержание работоспособности платформы. Разработка новых инструментов. Создание новых витрин данных.,Полный день
75921771,Data engineer,Москва,200000.0,250000.0,RUR,False,РВИ,"Высшее техническое образование, предпочтительные профили: экономика/финансы/математика/физика. Знание специализированных программных средств для работы с базами данных. ","Системный анализ, инженерная аналитика. Разработке архитектуры данных и структур баз данных. Работа с базами данных, формирование логики наполнения и хранения...",Полный день
77334669,Аналитик данных / Data Analyst,Москва,160000.0,200000.0,RUR,False,Юрент,"Высшее техническое или экономическое образование. Опыт от 3-х лет в роли Аналитика данных, Системного аналитика. Отличные знания SQL и...","Разработка и валидация новых метрик. Взаимодействие с владельцами продукта, BI-<highlighttext>Engineer</highlighttext>, DE, основными стейкхолдерами. Формирование ТЗ на изменение/создание витрин...",Удаленная работа
77478355,Стажер Data Engineer,Москва,,,,,СБЕР,"Желательно: Знание основных понятий и концепций из области <highlighttext>Data</highlighttext> Warehousing. Базовые знания стека технологий Big <highlighttext>Data</highlighttext> (Hadoop, Spark, Hive/Impala). ","Мы команда, которая занимается созданием витрин данных и реализацией онлайн-обработки данных на платформе Hadoop, настройкой интеграционных процессов для запусков...",Полный день
74376536,Data scientist,Москва,200000.0,240000.0,RUR,False,Астор,Опыт работы на позиции <highlighttext>data</highlighttext> scientist от 2ух лет. Знание основных алгоритмов и метрик машинного обучения. Ключевые навыки: Python...,"Полный цикл (<highlighttext>data</highlighttext> collection, feature <highlighttext>engineering</highlighttext>, model fitting, model management, visualization, model serving) создания набора моделей на основе транзакционной и...",Удаленная работа
77113559,Data Engineer,Москва,150000.0,,RUR,False,Автомакон,Уверенные знания SQL и опыт работы с базами данных. Уверенный опыт программирования на Python. Опыт работы с Apache Airflow. ,"Извлечение, преобразование, загрузка данных и их обработка (ETL/ELT). Формирование отчетов, визуализация данных. Создание и развитие процессов управления данными и...",Удаленная работа
76921562,Data-engeneer/Дата-инженер (Middle),Москва,250000.0,300000.0,RUR,True,Платформа Больших Данных,Понимание и интерес к области больших данных. Понимание и интерес к <highlighttext>data</highlighttext> science решениям и ML. Опыт работы с NiFi...,"Мероприятия для поддержания хорошего настроения (корпоративы, презентации новых IT-продуктов, сюрпризы). ∙ Разработка архитектуры решений по загрузке данных в кластер. ∙ ",Удаленная работа
77329747,Data engineer (middle+),Москва,,350000.0,RUR,False,Мамаева Ирина Анатольевна,"Уверенные знания Python 3+ (структуры данных, алгоритмы, концепции языка). Уверенные знания SQL: агрегации, джойны, вложенные запросы, индексы, оптимизации запросов. ","Разработка и развитие платформы прогнозирования - архитектура и реализация инструментов для построения ML-пайплайнов (подготовка данных, сбор фичей, обучение моделей, применение...",Удаленная работа
77279957,Data Engineer,Москва,,280000.0,RUR,True,Ростелеком,Опыт работы на позиции <highlighttext>инженера</highlighttext> данных/разработчика БД/ETL от 2 лет. Знание архитектурных принципов построения корпоративных хранилищ данных. ,"Разработка архитектуры доставки, хранения и обработки данных. Разработка ETL процессов, их оркестрация и поддержка. Активное участие в развитие инфраструктуры команды. ",Полный день
77208642,Data Scientist middle+/Senior,Москва,250000.0,350000.0,RUR,False,Мамаева Ирина Анатольевна,"Опыт использования ml библиотек на Python (бустинг, нейронные сети и др.) и понимание особенностей реализации различных аспектов алгоритмов в коде. ",Моделирование и обработка данных на Python для извлечения бизнес-ценности из данных. Глубокое обсуждение задач и методов их решения совместно...,Полный день
77478896,Data Engineer,Москва,,350000.0,RUR,False,Точка,"Есть опыт работы дата-<highlighttext>инженером</highlighttext> от 3-х лет. Умеешь работать с классическими базами (PostgreSQL, Oracle). Отлично разбираешься в устройстве...","Выстраивать конвейеры данных от источников до конечного хранилища. Проектировать архитектуру core-слоя и создавать витрины данных. Находить узкие места, оптимизировать...",Гибкий график
77478897,Data Engineer,Екатеринбург,,350000.0,RUR,False,Точка,"Есть опыт работы дата-<highlighttext>инженером</highlighttext> от 3-х лет. Умеешь работать с классическими базами (PostgreSQL, Oracle). Отлично разбираешься в устройстве...","Выстраивать конвейеры данных от источников до конечного хранилища. Проектировать архитектуру core-слоя и создавать витрины данных. Находить узкие места, оптимизировать...",Полный день
77416198,Data Engineer,Москва,,,,,Aero,"Знание Python, SQL. Опыт работы с реляционными СУБД. Опыт разработки ETL/ELT процессов. Работа с Airflow и/или dbt. ","Участвовать в построении хранилищ данных: проектирование, определение сущностей, формирование витрин данных. Разрабатывать и оптимизировать процессы выгрузки данных из различных источников. ",Гибкий график
76970819,Data engineer (Беспилотные автомобили),Москва,,,,,Яндекс,"Окончили технический вуз, отлично знаете мат. статистику, теорию вероятностей, методы оптимизации. Системно мыслите, умеете получать, структурировать и систематизировать информацию, чётко...","Развитию технологий беспилотного вождения помогает анализ данных. Так, за управление флотом и прозрачность ежедневных процессов отвечает операционная аналитика, за векторы...",Полный день
76109157,Data engineer,Москва,,,,,билайн,Умение проектировать базы данных (знает <highlighttext>Data</highlighttext> Vault 2.0 например). Понимание принципов работы реляционных СУБД и HDFS. Представление о колоночных...,"Анализ требований к витринам данных (взаимодействие с владельцем продукта, BI-разработчиками, datascientist-ами). Поиск и исследование источников данных для последующей...",Полный день
77445625,Python-разработчик в команду ML-платформы,Москва,270000.0,,RUR,False,АВИТО ТЕХ,Имеете опыт самостоятельной работы: от размытых формулировок на старте проекта вплоть до решения бизнес-задачи. Понимаете основные принципы проектирования распределённых...,Участвовать в создании нового продукта в составе кросс-функциональной команды. Прорабатывать сложные архитектурные решения и согласовывать их с другими командами...,Полный день
77330018,Data-engineer,Москва,,,,,BAUM STORAGE,Опыт работы с Apache Spark. Опыт работы с Apache Spark Streaming. Опыт работы с Apache Kafka. Опыт работы с kubernetes. ,"Участие в разработке распределенного вычислительного кластера. Настройка Spark, как центрального фреймворка на платформе. Настройка load balancer kubernetes для возможности динамически...",Полный день
71220088,Middle/Senior Data Engineer,Москва,200000.0,,RUR,False,24Н Софт,"...с Hadoop, Pyspark будет преимуществом. Желательно понимание терминов <highlighttext>Data</highlighttext> Sciencе при работе с данными (обучающая и валидационная выборки, <highlighttext>Data</highlighttext> Leak).","Извлечение, преобразование, загрузка данных и их обработка. Построение датасетов для <highlighttext>data</highlighttext> science моделей и аналитики. Построение надежных и оптимальных пайплайнов...",Гибкий график
77472595,Data engineer (Wink),Москва,,,,,Ростелеком Информационные Технологии,"Опыт работы <highlighttext>инженером</highlighttext>, разработчиком, или архитектором систем хранения и обработки данных. Опыт построения BI-решений и работы с ETL-инструментами. ","Построение системы сбора и обработки данных, в том числе: 1. Создание и автоматизация ETL процедур. 2. Участие в процессах контроля...",Удаленная работа
77422489,Data Engineer (Розничный Блок),Санкт-Петербург,,,,,СБЕР,"...использованием стека технологий Big <highlighttext>Data</highlighttext> (Hadoop, Spark, Hive/Impala). Знание основных понятий и концепций из области <highlighttext>Data</highlighttext> Warehousing. ","...по вопросам работы с данными. Предоставление экспертной поддержки внутренним потребителям (<highlighttext>data</highlighttext> analysts, <highlighttext>data</highlighttext> scientists) по вопросам, связанным с использованием данных.",Полный день
